label_a,label_b,relation,direction,evidence,n_confusions,sites,marker_jaccard,display_similarity,units_match,kind_match,proposed_by,status,reviewer,notes
heatingCoilPump,heatingCoilPumpEnable,parent,a_to_b,"confusion,display_sim",4,0,0.714,0.75,False,True,draft_equivalences.py,draft,,
heatingEnable,heatingEnableSp,parent,a_to_b,confusion,4,0,0.333,0.667,False,False,draft_equivalences.py,draft,,
heatingValveFb,perimeterHeatingValveFb,parent,a_to_b,"cross_site,display_sim",1,1,0.6,0.857,True,True,draft_equivalences.py,draft,,
minOutsideDamperFb,outsideDamperFb,parent,b_to_a,"cross_site,display_sim,probe",1,1,0.667,0.857,True,True,draft_equivalences.py,draft,,
outsideFlow,outsideFlowMinSp,parent,a_to_b,confusion,4,0,0.429,0.667,True,True,draft_equivalences.py,draft,,
returnFanSpeed,returnFanSpeedFb,parent,a_to_b,"cross_site,display_sim",1,1,0.571,0.857,True,True,draft_equivalences.py,draft,,
returnTemp,wheelReturnTemp,parent,a_to_b,"confusion,display_sim",4,0,0.8,0.8,True,True,draft_equivalences.py,draft,,
secBypassValve,secEnteringBypassValveFb,parent,a_to_b,confusion,4,0,0.333,0.667,True,True,draft_equivalences.py,draft,,
twrDrainValve,twrFillValve,site_variant,both,"confusion,display_sim",4,0,0.75,0.75,True,True,draft_equivalences.py,draft,,
twrFan,twrFanSpeed,parent,a_to_b,confusion,4,0,0.667,0.667,False,False,draft_equivalences.py,draft,,
wheel,wheelDischargeFan,parent,a_to_b,confusion,4,0,0.429,0.667,False,True,draft_equivalences.py,draft,,
wheelReturnFanStatus,wheelStatus,parent,b_to_a,confusion,4,0,0.429,0.667,False,True,draft_equivalences.py,draft,,
buildingPressure,buildingPressureAvg,parent,a_to_b,"cross_site,display_sim",0,1,0.5,0.8,True,True,draft_equivalences.py,draft,,
coldDeckDischargeTemp,coldDeckDischargeTempSp,parent,a_to_b,"cross_site,display_sim",0,1,0.571,0.889,True,True,draft_equivalences.py,draft,,
coldDeckDischargeTemp,hotDeckDischargeTemp,site_variant,both,"cross_site,display_sim",0,1,0.667,0.75,True,True,draft_equivalences.py,draft,,
condPump,condPumpEnable,parent,a_to_b,confusion,3,0,0.667,0.667,False,True,draft_equivalences.py,draft,,
coolingDemand,zoneCoolingDemand,parent,a_to_b,"cross_site,display_sim",0,1,0.5,0.8,True,True,draft_equivalences.py,draft,,
damper,damperFb,parent,a_to_b,"cross_site,probe",0,1,,0.667,,,draft_equivalences.py,draft,,
damperFb,outsideDamperFb,parent,a_to_b,"cross_site,probe",0,1,,0.8,,,draft_equivalences.py,draft,,
dischargeDamper,dischargeDamperOvr,parent,a_to_b,confusion,3,0,0.667,0.667,True,True,draft_equivalences.py,draft,,
dischargeFanSpeedFb,returnFanSpeedFb,site_variant,both,"cross_site,display_sim",0,1,0.667,0.75,True,True,draft_equivalences.py,draft,,
dischargeFlow,dischargeFlowSp,parent,a_to_b,"cross_site,display_sim,probe",0,1,0.571,0.8,True,True,draft_equivalences.py,draft,,
dischargeFlowMaxSp,dischargeFlowMinSp,site_variant,both,"cross_site,display_sim",0,1,0.714,0.8,True,True,draft_equivalences.py,draft,,
dischargeTempCoolSp,dischargeTempSp,parent,b_to_a,"cross_site,display_sim",0,1,0.556,0.857,True,True,draft_equivalences.py,draft,,
dischargeTempHeatSp,reHeatingCoilDischargeTempSp,site_variant,both,"cross_site,display_sim",0,1,0.4,0.8,True,True,draft_equivalences.py,draft,,
dischargeTempSp,wheelDischargeTempSp,parent,a_to_b,"confusion,display_sim",3,0,0.625,0.857,True,True,draft_equivalences.py,draft,,
